b12	b3	b4	b5	r12	delta3	delta4	delta5
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.512	0.18	0.157	1.13	0.957	-3.972	2.029	-3.043
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
0.526	0.179	0.195	1.153	0.936	-3.895	2.043	-3.028
